28|The Revenant|8,0|2015|https://www.primevideo.com/detail/0LCPYMTJRK4TS7ST1O9E5NQQWF/ref=br_def_r_br_c_ds4sVpsmr_1_48
29|Négociateur|7,3|1998|https://www.primevideo.com/detail/0H39R75ZDXTDOM7DN1TA04KU73/ref=br_def_r_br_c_ds4sVpsmr_1_49
30|Heat|8,2|1995|https://www.primevideo.com/detail/0LPIETH9MIDPC7M1TBM4U7BV4I/ref=br_def_r_br_c_ds4sVpsmr_1_52
31|La guerre selon Charlie Wilson|7,1|2008|https://www.primevideo.com/detail/0P0U60N78BVFA1RYAKCF45LZF2/ref=br_def_r_br_c_ds4sVpsmr_1_53
32|L.A. Confidential|8,3|1997|https://www.primevideo.com/detail/0LL8YJ5XGF1AIXTIOLQQX5P8XY/ref=br_def_r_br_c_ds4sVpsmr_1_55
33|American Gangster|7,8|2007|https://www.primevideo.com/detail/0QK8X9RC5QY708M7ZWLMVFMVL5/ref=br_def_r_br_c_ds4sVpsmr_1_57
34|CHI-RAQ|5,7|2015|https://www.primevideo.com/detail/0JC8QI0514190M4SP06A4SZDXV/ref=br_def_r_br_c_ds4sVpsmr_1_63
35|La Vie, ma vie|6,5|2017|https://www.primevideo.com/detail/0HX4DSQG5JXIQ0Z62VCNXBGZC7/ref=br_def_r_br_c_ds4sVpsmr_1_67
36|Il était une fois en Amérique|8,4|1984|https://www.primevideo.com/detail/0ND6SCFEYWIRDPBK2GIWSP6UJM/ref=br_def_r_br_c_ds4sVpsmr_1_70
37|World Trade Center|6,0|2006|https://www.primevideo.com/detail/0FBAXJPMYU68HDVI6AKBFTNFH9/ref=br_def_r_br_c_ds4sVpsmr_1_71
38|Taxi Driver|8,3|1976|https://www.primevideo.com/detail/0QK98ZEJHTDZC4R8LFKM42VT4O/ref=br_def_r_br_c_ds4sVpsmr_1_72
39|Bienvenue à Gattaca|7,8|1997|https://www.primevideo.com/detail/0GQGTTMJCM1PDHQWANMLX1WCPS/ref=br_def_r_br_c_ds4sVpsmr_1_76
