id|name|imdbScore|year|category|link
32|The Hit Girls|7.2|2012|comedy|https://www.primevideo.com/detail/0I9VFP3DJNY74L0Q0B39BR063P/ref=br_def_r_br_c_HxROdRsmr_1_53
52|Présentateur Vedette : La Légende de Ron Burgundy|7.2|2004|comedy|https://www.primevideo.com/detail/0R5KA4H8ETE8FQ98SHTHM1CKRL/ref=br_def_r_br_c_HxROdRsmr_1_116
20|40 ans, toujours puceau|7.1|2005|comedy|https://www.primevideo.com/detail/0NHFN17V2DEGNFLA6H8AN4CUI2/ref=br_def_r_br_c_HxROdRsmr_1_35
25|Marley et moi|7.1|2008|comedy|https://www.primevideo.com/detail/0L8GM88GFFU5S403RGF3WY40Z8/ref=br_def_r_br_c_HxROdRsmr_1_45
35|La guerre selon Charlie Wilson|7.1|2008|comedy|https://www.primevideo.com/detail/0P0U60N78BVFA1RYAKCF45LZF2/ref=br_def_r_br_c_HxROdRsmr_1_59
86|Easy A|7.1|2010|comedy|https://www.primevideo.com/detail/0QX1R7531W18L6U879MC7Z6GTL/ref=br_def_r_br_c_HxROdRsmr_1_235
26|Paul|7.0|2011|comedy|https://www.primevideo.com/detail/0I1CBXWMW85U6FJU8QGV9GD6QA/ref=br_def_r_br_c_HxROdRsmr_1_46
55|En cloque, mode d'emploi|7.0|2007|comedy|https://www.primevideo.com/detail/0HKAKHU5N8XNWFMMOYJIFK5O4W/ref=br_def_r_br_c_HxROdRsmr_1_119
61|Wayne's World Mégateuf !|7.0|1992|comedy|https://www.primevideo.com/detail/0Q7GLKKHFFBKOJFF1N6ERKW3LY/ref=br_def_r_br_c_HxROdRsmr_1_138
66|Tonnerre sous les Tropiques|7.0|2008|comedy|https://www.primevideo.com/detail/0SGG9SL7PY580M8J7XYLU1UP00/ref=br_def_r_br_c_HxROdRsmr_1_157
82|I Love You, Man|7.0|2009|comedy|https://www.primevideo.com/detail/0GM6WDNQYXCUK28A4W2T7ZWCFC/ref=br_def_r_br_c_HxROdRsmr_1_216
87|Mohalla Assi|7.0|2018|comedy|https://www.primevideo.com/detail/0K1VIQQKAARBUUKD6A1LJ5VP0J/ref=br_def_r_br_c_HxROdRsmr_1_236
88|Fantômes En Fête|7.0|1988|comedy|https://www.primevideo.com/detail/0MF23D9ER4LDTIXGC3U210YNVS/ref=br_def_r_br_c_HxROdRsmr_1_240
10|Ted|6.9|2012|comedy|https://www.primevideo.com/detail/0O2QJYJQ3REXVPQDVIQS8JK3XA/ref=br_def_r_br_c_HxROdRsmr_1_16
13|Men In Black 3|6.8|2012|comedy|https://www.primevideo.com/detail/0TRCFWPQAJ8Y9KJRCBB74ZDX1D/ref=br_def_r_br_c_HxROdRsmr_1_20
57|Beavis Et Butt-Head Se Font L'Amerique|6.8|1996|comedy|https://www.primevideo.com/detail/0HSTGJD8M8PF64EOHB8AE5YN1A/ref=br_def_r_br_c_HxROdRsmr_1_125
65|Amour & amnésie|6.8|2004|comedy|https://www.primevideo.com/detail/0O70CDUUTAK9WEJL0L29YW0BEN/ref=br_def_r_br_c_HxROdRsmr_1_155
89|Mes meilleures amies|6.8|2011|comedy|https://www.primevideo.com/detail/0R9TN5R0GA2TRPKKA4CCH872GV/ref=br_def_r_br_c_HxROdRsmr_1_247
1|The Upside|6.7|2019|comedy|https://www.primevideo.com/detail/0JTCUOIHF44GV4SJ7JRR9ZH9AT/ref=br_def_r_br_c_HxROdRsmr_1_1
41|Et si c'était vrai...|6.7|2005|comedy|https://www.primevideo.com/detail/0I5LS8B49EL2CPYAJ7GPZ86I5Z/ref=br_def_r_br_c_HxROdRsmr_1_79
21|Sex Trip - censuré|6.6|2004|comedy|https://www.primevideo.com/detail/0FO3A0C9GXGAKX6BBFC00J2OMM/ref=br_def_r_br_c_HxROdRsmr_1_37
63|C'est la fin|6.6|2013|comedy|https://www.primevideo.com/detail/0RV5903QV9KBZ4N0MC9RNNYJUI/ref=br_def_r_br_c_HxROdRsmr_1_143
71|Think Like A Man|6.6|2012|comedy|https://www.primevideo.com/detail/0SC6ZXEUJDFOT7JWC4ZLTAWXLL/ref=br_def_r_br_c_HxROdRsmr_1_175
